LS 53290,BP 938.470,BH 28.610,BT 15.260,DH 64.500,DT 4.800,GT 23:35:52,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.4000
LS 53295,BP 938.500,BH 28.600,BT 15.250,DH 64.400,DT 4.800,GT 23:35:57,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.4000
LS 53300,BP 938.490,BH 28.600,BT 15.250,DH 64.400,DT 4.900,GT 23:36:2,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.4000
LS 53305,BP 938.480,BH 28.610,BT 15.240,DH 64.300,DT 4.800,GT 23:36:7,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 713.5000
LS 53310,BP 938.480,BH 28.610,BT 15.240,DH 64.200,DT 4.800,GT 23:36:12,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 713.5000
LS 53315,BP 938.530,BH 28.610,BT 15.240,DH 64.100,DT 4.800,GT 23:36:17,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 713.6000
LS 53320,BP 938.500,BH 28.610,BT 15.230,DH 64.100,DT 4.800,GT 23:36:22,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.6000
LS 53325,BP 938.480,BH 28.610,BT 15.220,DH 64.200,DT 4.800,GT 23:36:27,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.7000
LS 53330,BP 938.480,BH 28.520,BT 15.220,DH 64.500,DT 4.800,GT 23:36:32,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.7000
LS 53335,BP 938.510,BH 28.620,BT 15.220,DH 65.100,DT 4.800,GT 23:36:37,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.7000
LS 53340,BP 938.480,BH 28.620,BT 15.210,DH 65.400,DT 4.800,GT 23:36:42,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.8000
LS 53345,BP 938.490,BH 28.630,BT 15.200,DH 65.600,DT 4.800,GT 23:36:47,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.8000
LS 53350,BP 938.510,BH 28.620,BT 15.210,DH 65.500,DT 4.800,GT 23:36:52,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.9000
LS 53355,BP 938.530,BH 28.630,BT 15.210,DH 65.500,DT 4.800,GT 23:36:57,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 713.9000
LS 53360,BP 938.510,BH 28.650,BT 15.190,DH 65.300,DT 4.800,GT 23:37:2,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 713.9000
LS 53365,BP 938.500,BH 28.630,BT 15.180,DH 65.200,DT 4.800,GT 23:37:7,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 714.0000
LS 53370,BP 938.510,BH 28.630,BT 15.180,DH 65.000,DT 4.800,GT 23:37:12,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 714.0000
LS 53375,BP 938.500,BH 28.640,BT 15.180,DH 64.800,DT 4.800,GT 23:37:17,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 714.0000
LS 53380,BP 938.520,BH 28.650,BT 15.180,DH 64.700,DT 4.800,GT 23:37:22,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 714.0000
LS 53385,BP 938.490,BH 28.650,BT 15.170,DH 64.600,DT 4.800,GT 23:37:27,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 714.0000
LS 53390,BP 938.530,BH 28.640,BT 15.160,DH 64.600,DT 4.800,GT 23:37:32,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 714.1000
LS 53395,BP 938.510,BH 28.650,BT 15.160,DH 64.700,DT 4.800,GT 23:37:37,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 714.1000
